Skill1,Skill2,P1Wins,
16.62013887857796,17.571254747307062,false,
18.66532172712197,22.163670157208365,false,
18.1900635175351,18.804039336859248,false,
20.299465722096887,20.163405484891815,false,
20.25159190983493,20.57485580048504,false,
21.31786552898979,18.71082240683105,false,
19.706597173822768,18.62585869675348,false,
21.401586414916103,20.752212227344515,false,
19.75190844071343,20.56807109967569,false,
19.473487967057267,20.865233646297224,false,
23.08652477958773,20.995172063975904,false,
21.675870796241107,19.370454605422314,false,
19.571442089101417,19.702379124255692,false,
21.026673671740017,21.915536702826834,false,
21.454432204570104,24.03016145859354,false,
17.705280168943453,18.913121097083252,false,
22.16270023325609,19.889615726148868,false,
18.66622119381561,18.54517658678477,false,
17.787953143444653,19.00970835961056,false,
19.03692207325285,25.548233363931573,false,
22.48648770868726,23.677773040653957,false,
22.018853126385864,18.215724036434494,false,
24.982732706264912,21.58023914685571,false,
22.37742606380314,24.32216353973062,false,
20.34532074535103,19.77043230978573,false,
19.640653324095833,21.10407000910426,false,
18.767458568328777,23.107644007085327,false,
19.814385595621555,21.103438880189923,false,
17.672311313584064,20.002379587045265,false,
19.805569149938133,18.542213824448076,false,
18.5506985287761,17.6862223004972,false,
17.83726065148035,18.442353659070893,false,
19.302471236427643,17.772266655841527,false,
22.65336151987814,21.114474338002246,false,
19.28496398595004,19.053824662487255,false,
21.030378610910084,24.19424585774716,false,
21.41833203914073,19.163810095979134,false,
18.760525472174216,21.59106491007109,false,
20.868769606043497,18.410981753413843,false,
18.730058905460496,19.232261688543122,false,
22.103715193920635,20.34710826094871,false,
25.384351787484707,19.002663333558324,true,
20.258313351541823,23.021396358781836,false,
16.569892930069898,18.75201994690626,false,
20.77792693012225,22.08490025757392,false,
20.141310953887707,21.018881282074393,false,
21.918338280249067,18.678517297801704,false,
20.8245757048665,15.840400332793397,true,
20.750791751852013,21.07069146448451,false,
19.438262691745383,16.47317342802059,false,
20.719894554794703,22.257637059409298,false,
18.396755402529845,20.554266914788894,false,
20.61548847090057,17.82611584807773,false,
17.531603849838643,19.420215289817577,false,
19.67440795179851,22.16900095828887,false,
18.337992834711436,15.000084570430264,false,
16.713311215206925,20.439330218689356,false,
22.534570273562824,18.23098447745728,false,
20.53607948426273,19.903074166717936,false,
22.045110759253365,22.134670945644807,false,
19.712324893766773,14.708942217170193,true,
22.988732369299115,20.480758267007342,false,
19.058491046817608,15.994373636931936,false,
19.37568589674493,16.640976568284987,false,
18.121102126524967,19.27838273742125,false,
20.495854570399814,21.475016305511673,false,
23.322206881706094,22.793018697725948,false,
17.01875724762576,21.91913999705241,false,
21.367579500641625,18.158724024622686,false,
16.4374438977376,21.539002426443993,false,
19.961146176743252,16.277440784342648,false,
18.702444230878555,18.727081259561295,false,
18.74516556182344,12.861927070535444,true,
16.748314100493705,20.701621878577885,false,
20.163282730885374,21.639934663735616,false,
20.514878853776068,17.550204509028863,false,
20.135236331937538,23.19835445050097,false,
20.72498464417862,23.10650521766698,false,
21.72419006213264,17.99409087539973,false,
18.10606738458962,21.40414847591694,false,
20.262422933616058,20.815288810037323,false,
18.049905110301527,20.811729879800634,false,
19.851032301959574,24.62130541111072,false,
19.158126096334204,20.622482983111123,false,
16.464066613955758,19.6452239456356,false,
17.40080290315845,17.662206923390222,false,
18.099381456614204,21.275320238514855,false,
17.539961703421802,18.660100797458313,false,
17.774449936143885,16.19500468173386,false,
17.036034164064283,17.080407661062605,false,
16.639020981582664,17.62750599374362,false,
21.532453150485818,20.413499908570202,false,
19.389650494768844,24.856125568512404,false,
17.41355981368282,21.45549144140646,false,
18.86420813467544,18.70051984768345,false,
21.967677345563786,21.141942490857243,false,
20.346642495114637,16.974497042793423,false,
22.450239113678716,19.605867829701932,false,
17.971992293149604,21.6997619380536,false,
17.816569596322857,20.30364856988079,false,
21.563177442529263,22.698932448697985,false,
22.80030774766098,20.773534284189914,false,
19.102379080703464,19.44552609859024,false,
20.227915759986875,18.49082267047496,false,
20.89448263989098,21.085431575101136,false,
17.02121580883123,19.413213031340042,false,
18.91328362965434,17.89112821437532,false,
20.873981695238314,19.347371790875275,false,
