p,a,b,
0.6503638917126303,-0.30035253903061476,0.7853474003019636,
0.18553220540622503,-0.9114005824128744,-0.010418289689058113,
0.1818691602299165,-0.14354368342952606,0.8351934200499627,
0.8597225275285104,0.38320544403716394,-0.1442983910633433,
0.1500823598015743,-0.8733466128898608,0.9642549869591515,
0.7701953035161998,0.5649952683886355,-0.7484896486405923,
0.5774239621313267,0.20807034605072827,-0.4029122176090931,
0.13809177576306675,-0.6477866275567266,0.7888976878426739,
0.0359038719885315,-0.45248214697112266,0.9890836481329237,
0.1772290509129667,0.19808624771218986,0.8373225538194282,
0.20543637644747031,-0.0766967664701994,-0.49608185912530955,
0.8303951375047859,0.38007215043559905,-0.36959019072513377,
0.5437753909252804,0.7807263233601056,-0.11663405120909887,
0.2652189250703421,0.24002314002628422,0.217060665284859,
0.5832811668524656,0.09038968961606586,-0.16699618317418463,
0.33576172421546446,0.9751512570872671,0.21075934017422115,
0.04531773562181818,-0.6288063498166294,0.20055826386432396,
0.250790950504591,0.6932244284947926,-0.5837212187227614,
0.10002275476526647,-0.8313939006560982,-0.608083262785986,
0.039718063365470624,0.8174778483469596,-0.46207074657594127,
0.8357022200844447,0.9617163899585504,-0.6556953650060731,
0.052016631813052355,-0.750463517348549,0.3178044933475974,
0.09494191758590666,0.7591069250007945,-0.9554634795724102,
0.30328720017420874,0.6032844336768501,0.5359187299119852,
0.031787906266216776,0.8411790153016987,-0.37411635629559714,
0.2741593270635143,-0.600189459054814,0.5592280982614264,
0.05103421811426163,0.3755658314615229,0.3772158417482321,
0.45828919661858336,-0.1483173555460593,0.31271439429286807,
0.3688554682355336,-0.3690164136604168,0.8157368602305104,
0.24151499696553433,-0.4523487381426994,0.8147990261995404,
0.061865654823402665,-0.4810534772682413,-0.2251372745392366,
0.0628423101875479,-0.34762882537129225,-0.5183615384942679,
0.08079350683868596,0.5659734624587538,0.14724685399882564,
0.14078632306174801,-0.9349781888132433,-0.9698070306043636,
0.23651547053532776,-0.3578727466950362,-0.37714765513918147,
0.6838180925042369,0.19208763504165183,0.3601213286725822,
0.03930450128378098,0.0992564454650331,0.8056000582923895,
0.6953697033101409,0.388204488705884,-0.5908780710808497,
0.7803026273733444,-0.23290079705625355,-0.08432930885348688,
0.10433461974848413,-0.2792210235001682,-0.8364805692235124,
8.04816300565726E-5,-0.41365498552069857,0.7861461166558568,
0.009901316562421573,-0.9139262093411487,-0.3728023322323215,
0.002751250084914439,0.6267485247810431,0.9109967056300432,
0.31699959975260333,0.5765563992689002,-0.6245428120753933,
0.2968487216900168,-0.3795616701205846,0.579971497544741,
0.7366982684179797,0.3924692214548231,-0.07811841838784028,
0.006664719226088636,-0.6804277526341223,0.23596611926791833,
0.6039165440690752,-0.20167451085307087,0.8408487206170998,
0.680657412657712,-0.3630545948482171,0.49905918167776053,
0.47858081651677314,0.025976409726895522,0.6591412601595226,
0.7051442657969005,-0.39623057071061285,-0.33711801873758995,
0.05549173813779014,-0.638071064521675,0.8661915014935415,
0.268140180081649,-0.3403802027418428,0.4970627540594439,
0.0461274360017989,-0.6677363162458045,-0.9259191298294458,
0.1481680544163921,0.4426974302314248,0.14008542632956877,
0.011527315920918069,-0.8748974173378048,0.54000926903643,
0.24039767868864023,-0.7313106837054502,-0.6392805609827614,
0.23682139926801837,0.5777180053586493,0.5991947435608589,
0.44916034404276417,0.9002107480979922,0.9533367582672667,
0.8467376613449105,0.9799103947962295,0.21759565851154705,
0.014995144893044102,0.5023365611089778,0.7724222585900271,
0.9848429254288155,-0.5796233781727926,0.8332858163873944,
0.9699895256177434,0.054311724807781125,0.3001667701364479,
0.34926829699303197,0.6402213364493969,-0.028205190242567513,
9.961204636566078E-7,-0.5227208693120518,-0.3108941053897789,
0.13129103184851434,0.9997743668430124,0.1876942483993902,
0.19313721807676681,-0.8891382371502856,0.29466271632091146,
0.4828156304097733,-0.2904919620546811,-0.20198379637112907,
0.013739839976182718,0.4550332094422356,0.45179237975515907,
0.02996469365569942,0.34240323503717196,0.3079651097035141,
0.08734533429916376,0.43717109436319346,0.3169248383279739,
